id_telefone,id_cliente,ddd,numero,tipo
1,1,11,99001-0001,Celular
2,2,11,99001-0002,Celular
3,3,41,99001-0003,Celular
4,4,51,99001-0004,Celular
5,5,85,99001-0005,Celular
6,6,11,99001-0006,Celular
7,7,31,99001-0007,Celular
8,8,81,99001-0008,Celular
9,9,71,99001-0009,Celular
10,10,31,99001-0010,Celular
11,11,31,99001-0011,Residencial
12,12,48,99001-0012,Celular
13,13,21,99001-0013,Celular
14,14,41,99001-0014,Celular
15,15,81,99001-0015,Celular
16,16,11,99001-0016,Celular
17,17,51,99001-0017,Celular
18,18,51,99001-0018,Celular
19,19,21,99001-0019,Celular
20,20,11,99001-0020,Celular
